rank,name,star,amount,quote
"
1



",肖申克的救赎,9.6,1288574人评价,"
希望让人自由。
"
"
2



",霸王别姬,9.6,951218人评价,"
风华绝代。
"
"
3



",这个杀手不太冷,9.4,1182319人评价,"
怪蜀黍和小萝莉不得不说的故事。
"
"
4



",阿甘正传,9.4,1015734人评价,"
一部美国近现代史。
"
"
5



",美丽人生,9.5,594513人评价,"
最美的谎言。
"
"
6



",泰坦尼克号,9.3,951395人评价,"
失去的才是永恒的。 
"
"
7



",千与千寻,9.3,944451人评价,"
最好的宫崎骏，最好的久石让。 
"
"
8



",辛德勒的名单,9.5,532059人评价,"
拯救一个人，就是拯救整个世界。
"
"
9



",盗梦空间,9.3,1026845人评价,"
诺兰给了我们一场无法盗取的梦。
"
"
10



",机器人总动员,9.3,683063人评价,"
小瓦力，大人生。
"
"
11



",忠犬八公的故事,9.3,671461人评价,"
永远都不能忘记你所爱的人。
"
"
12



",三傻大闹宝莱坞,9.2,921255人评价,"
英俊版憨豆，高情商版谢耳朵。
"
"
13



",海上钢琴师,9.2,765462人评价,"
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
"
"
14



",放牛班的春天,9.3,635757人评价,"
天籁一般的童声，是最接近上帝的存在。 
"
"
15



",大话西游之大圣娶亲,9.2,707026人评价,"
一生所爱。
"
"
16



",楚门的世界,9.2,691053人评价,"
如果再也不能见到你，祝你早安，午安，晚安。
"
"
17



",龙猫,9.2,623306人评价,"
人人心中都有个龙猫，童年就永远不会消失。
"
"
18



",星际穿越,9.2,701880人评价,"
爱是一种力量，让我们超越时空感知它的存在。
"
"
19



",教父,9.2,464985人评价,"
千万不要记恨你的对手，这样会让你失去理智。
"
"
20



",熔炉,9.3,403040人评价,"
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
"
"
21



",无间道,9.1,581223人评价,"
香港电影史上永不过时的杰作。
"
"
22



",当幸福来敲门,9.0,745048人评价,"
平民励志片。 
"
"
23



",疯狂动物城,9.2,780985人评价,"
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
"
"
24



",触不可及,9.2,491584人评价,"
满满温情的高雅喜剧。
"
"
25



",怦然心动,9.0,810359人评价,"
真正的幸福是来自内心深处。
"
"
26



",乱世佳人,9.2,349486人评价,"
Tomorrow is another day.
"
"
27



",蝙蝠侠：黑暗骑士,9.1,468928人评价,"
无尽的黑暗。
"
"
28



",活着,9.2,382700人评价,"
张艺谋最好的电影。
"
"
29



",天堂电影院,9.1,380728人评价,"
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
"
"
30



",少年派的奇幻漂流,9.0,755425人评价,"
瑰丽壮观、无人能及的冒险之旅。
"
"
31



",鬼子来了,9.2,314483人评价,"
对敌人的仁慈，就是对自己残忍。
"
"
32



",十二怒汉,9.4,225386人评价,"
1957年的理想主义。 
"
"
33



",指环王3：王者无敌,9.1,376520人评价,"
史诗的终章。
"
"
34



",控方证人,9.6,158142人评价,"
比利·怀德满分作品。
"
"
35



",天空之城,9.1,440778人评价,"
对天空的追逐，永不停止。 
"
"
36



",搏击俱乐部,9.0,491267人评价,"
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
"
"
37



",飞屋环游记,8.9,671175人评价,"
最后那些最无聊的事情，才是最值得怀念的。 
"
"
38



",大话西游之月光宝盒,8.9,570315人评价,"
旷古烁今。
"
"
39



",摔跤吧！爸爸,9.1,698751人评价,"
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
"
"
40



",罗马假日,9.0,505536人评价,"
爱情哪怕只有一天。
"
"
41



",哈尔的移动城堡,9.0,482466人评价,"
带着心爱的人在天空飞翔。
"
"
42



",窃听风暴,9.1,300664人评价,"
别样人生。
"
"
43



",闻香识女人,9.0,429648人评价,"
史上最美的探戈。
"
"
44



",辩护人,9.2,297174人评价,"
电影的现实意义大过电影本身。
"
"
45



",两杆大烟枪,9.1,336675人评价,"
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
"
"
46



",飞越疯人院,9.1,339858人评价,"
自由万岁。
"
"
47



",死亡诗社,9.0,367178人评价,"
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
"
"
48



",V字仇杀队,8.8,557862人评价,"
一张面具背后的理想与革命。
"
"
49



",指环王2：双塔奇兵,9.0,353383人评价,"
承前启后的史诗篇章。
"
"
50



",教父2,9.1,251728人评价,"
优雅的孤独。
"
"
51



",海豚湾,9.3,224010人评价,"
海豚的微笑，是世界上最高明的伪装。
"
"
52



",指环王1：魔戒再现,8.9,395813人评价,"
传说的开始。
"
"
53



",素媛,9.1,261016人评价,"
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
"
"
54



",饮食男女,9.1,272404人评价,"
人生不能像做菜，把所有的料都准备好了才下锅。
"
"
55



",美丽心灵,8.9,390325人评价,"
爱是一切逻辑和原由。
"
"
56



",末代皇帝,9.1,273753人评价,"
“不要跟我比惨，我比你更惨”再适合这部电影不过了。
"
"
57



",情书,8.9,485343人评价,"
暗恋的极致。
"
"
58



",狮子王,8.9,374771人评价,"
动物版《哈姆雷特》。
"
"
59



",钢琴家,9.1,257378人评价,"
音乐能化解仇恨。
"
"
60



",美国往事,9.1,221559人评价,"
往事如烟，无处祭奠。
"
"
61



",小鞋子,9.2,188248人评价,"
奔跑的孩子是天使。
"
"
62



",本杰明·巴顿奇事,8.8,505751人评价,"
在时间之河里感受溺水之苦。
"
"
63



",七宗罪,8.8,535886人评价,"
警察抓小偷，老鼠玩死猫。
"
"
64



",西西里的美丽传说,8.8,472578人评价,"
美丽无罪。
"
"
65



",致命魔术,8.8,440896人评价,"
孪生蝙蝠侠大战克隆金刚狼。
"
"
66



",被嫌弃的松子的一生,8.9,390322人评价,"
以戏谑来戏谑戏谑。
"
"
67



",黑客帝国,8.9,372692人评价,"
视觉革命。
"
"
68



",让子弹飞,8.7,823434人评价,"
你给我翻译翻译，神马叫做TMD的惊喜。
"
"
69



",看不见的客人,8.7,514374人评价,"
你以为你以为的就是你以为的。
"
"
70



",拯救大兵瑞恩,8.9,320023人评价,"
美利坚精神输出大片No1.
"
"
71



",大闹天宫,9.3,150213人评价,"
经典之作，历久弥新。
"
"
72



",音乐之声,8.9,296041人评价,"
用音乐化解仇恨，让歌声串起美好。
"
"
73



",低俗小说,8.8,433338人评价,"
故事的高级讲法。
"
"
74



",天使爱美丽,8.7,594529人评价,"
法式小清新。 
"
"
75



",哈利·波特与魔法石,8.8,383821人评价,"
童话世界的开端。
"
"
76



",勇敢的心,8.8,355203人评价,"
史诗大片的典范。
"
"
77



",剪刀手爱德华,8.7,606683人评价,"
浪漫忧郁的成人童话。
"
"
78



",沉默的羔羊,8.8,440788人评价,"
安东尼·霍普金斯的顶级表演。
"
"
79



",寻梦环游记,9.0,655623人评价,"
死亡不是真的逝去，遗忘才是永恒的消亡。
"
"
80



",蝴蝶效应,8.7,484663人评价,"
人的命运被自己瞬间的抉择改变。
"
"
81



",春光乍泄,8.9,321058人评价,"
爱情纠缠，男女一致。
"
"
82



",心灵捕手,8.8,352352人评价,"
人生中应该拥有这样的一段豁然开朗。
"
"
83



",猫鼠游戏,8.8,326890人评价,"
骗子大师和执著警探的你追我跑故事。 
"
"
84



",入殓师,8.8,373468人评价,"
死可能是一道门，逝去并不是终结，而是超越，走向下一程。
"
"
85



",布达佩斯大饭店,8.8,429661人评价,"
小清新的故事里注入了大历史的情怀。
"
"
86



",禁闭岛,8.7,467883人评价,"
昔日翩翩少年，今日大腹便便。
"
"
87



",幽灵公主,8.8,296736人评价,"
人与自然的战争史诗。
"
"
88



",阳光灿烂的日子,8.8,342465人评价,"
一场华丽的意淫。
"
"
89



",玛丽和马克思,8.9,269915人评价,"
你是我最好的朋友，你是我唯一的朋友 。
"
"
90



",穿条纹睡衣的男孩,9.0,209447人评价,"
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
"
"
91



",第六感,8.8,293493人评价,"
深入内心的恐怖，出人意料的结局。
"
"
92



",狩猎,9.1,174545人评价,"
人言可畏。
"
